ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID
hsa-miR-486-3p	0.906	0.0259	2.26397	-4	0.40846	hsa-miR-486-3p
hsa-miR-574-3p	0.906	0.0373	-2.11233	-4.1	-0.23535	hsa-miR-574-3p
hsa-miR-942-5p	0.906	0.0675	-1.84994	-4.26	-0.31892	hsa-miR-942-5p
hsa-miR-191-5p	0.906	0.0956	-1.68342	-4.34	-0.27342	hsa-miR-191-5p
hsa-miR-20a-5p+hsa-miR-20b-5p	0.906	0.1604	1.41484	-4.47	0.20868	hsa-miR-20a-5p+hsa-miR-20b-5p
hsa-miR-376a-3p	0.906	0.2089	-1.26528	-4.53	-0.19093	hsa-miR-376a-3p
hsa-miR-4443	0.906	0.2108	1.26008	-4.54	0.18296	hsa-miR-4443
hsa-miR-296-5p	0.906	0.2296	-1.20923	-4.55	-0.24628	hsa-miR-296-5p
hsa-miR-126-3p	0.906	0.2378	1.18801	-4.56	0.25786	hsa-miR-126-3p
hsa-miR-150-5p	0.906	0.2569	-1.14077	-4.58	-0.25395	hsa-miR-150-5p
hsa-let-7f-5p	0.906	0.258	1.13816	-4.58	0.16813	hsa-let-7f-5p
hsa-miR-92a-3p	0.906	0.2606	-1.13191	-4.58	-0.17514	hsa-miR-92a-3p
hsa-miR-425-5p	0.906	0.2626	-1.12711	-4.58	-0.16045	hsa-miR-425-5p
hsa-miR-26b-5p	0.906	0.2628	1.1265	-4.58	0.2012	hsa-miR-26b-5p
hsa-miR-199a-3p+hsa-miR-199b-3p	0.906	0.2691	1.11184	-4.59	0.20261	hsa-miR-199a-3p+hsa-miR-199b-3p
hsa-miR-30d-5p	0.906	0.3105	-1.01978	-4.62	-0.12629	hsa-miR-30d-5p
hsa-miR-106a-5p+hsa-miR-17-5p	0.906	0.3242	0.99101	-4.63	0.14874	hsa-miR-106a-5p+hsa-miR-17-5p
hsa-miR-378i	0.906	0.3348	0.96948	-4.64	0.08288	hsa-miR-378i
hsa-miR-574-5p	0.906	0.3567	0.9262	-4.65	0.12914	hsa-miR-574-5p
hsa-miR-148b-3p	0.906	0.3595	-0.92078	-4.65	-0.11718	hsa-miR-148b-3p
hsa-let-7g-5p	0.906	0.3619	0.91621	-4.65	0.21925	hsa-let-7g-5p
hsa-miR-363-3p	0.906	0.3829	0.87666	-4.66	0.09929	hsa-miR-363-3p
hsa-miR-183-5p	0.906	0.3858	-0.87127	-4.66	-0.12359	hsa-miR-183-5p
hsa-miR-1183	0.906	0.4176	-0.81419	-4.68	-0.11359	hsa-miR-1183
hsa-miR-15a-5p	0.906	0.4186	0.81247	-4.68	0.13214	hsa-miR-15a-5p
hsa-miR-106b-5p	0.906	0.4196	0.81066	-4.68	0.08497	hsa-miR-106b-5p
hsa-miR-484	0.906	0.423	-0.80471	-4.68	-0.12395	hsa-miR-484
hsa-miR-194-5p	0.906	0.4249	0.80142	-4.68	0.0931	hsa-miR-194-5p
hsa-miR-7-5p	0.906	0.4334	0.78672	-4.69	0.1047	hsa-miR-7-5p
hsa-miR-513b-5p	0.906	0.4411	-0.77369	-4.69	-0.11523	hsa-miR-513b-5p
hsa-miR-491-5p	0.906	0.4458	-0.76569	-4.69	-0.10159	hsa-miR-491-5p
hsa-miR-423-3p	0.906	0.4515	-0.75602	-4.69	-0.10459	hsa-miR-423-3p
hsa-miR-222-3p	0.906	0.4549	0.75042	-4.7	0.12434	hsa-miR-222-3p
hsa-miR-25-3p	0.906	0.4789	-0.7109	-4.7	-0.10396	hsa-miR-25-3p
hsa-miR-21-5p	0.906	0.4859	-0.69963	-4.71	-0.06507	hsa-miR-21-5p
hsa-miR-451a	0.906	0.4946	-0.68573	-4.71	-0.13054	hsa-miR-451a
hsa-miR-374a-5p	0.906	0.4984	-0.67972	-4.71	-0.1643	hsa-miR-374a-5p
hsa-miR-514a-5p	0.906	0.5001	-0.67696	-4.71	-0.10103	hsa-miR-514a-5p
hsa-miR-331-3p	0.906	0.5024	-0.67341	-4.71	-0.09771	hsa-miR-331-3p
hsa-miR-223-3p	0.906	0.5034	-0.67181	-4.71	-0.13071	hsa-miR-223-3p
hsa-let-7c-5p	0.906	0.5282	0.63314	-4.72	0.12017	hsa-let-7c-5p
hsa-let-7b-5p	0.906	0.537	0.61963	-4.72	0.12187	hsa-let-7b-5p
hsa-miR-107	0.906	0.5499	-0.60011	-4.73	-0.05921	hsa-miR-107
hsa-miR-16-5p	0.906	0.5536	0.5946	-4.73	0.09709	hsa-miR-16-5p
hsa-miR-98-5p	0.914	0.5712	0.56837	-4.73	0.09138	hsa-miR-98-5p
hsa-miR-342-3p	0.923	0.5895	-0.54151	-4.74	-0.07856	hsa-miR-342-3p
hsa-miR-1910-5p	0.926	0.6262	-0.48874	-4.75	-0.07679	hsa-miR-1910-5p
